=== host: a14  date: 2026年  7月  5日 日曜日 22:36:00 JST ===
FLAGS: -O3 -ffast-math -funroll-loops (upstream intended flags)

############## fast_fp32 ##############
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_fast_fp32,1024,6.2879774900000007e-01,4096,1.5351507543945314e-04,6.8304431795922337e+09,1.5026974995102914e+11,32,32
./nbody_fast_fp32,2048,6.4691657000000002e-01,2048,3.1587723144531251e-04,1.3278272640318983e+10,2.9212199808701764e+11,32,32
./nbody_fast_fp32,4096,6.6510080300000007e-01,1024,6.4951250292968757e-04,2.5830474277746433e+10,5.6827043411042151e+11,32,32
./nbody_fast_fp32,8192,6.7020726600000002e-01,512,1.3089985664062500e-03,5.1267331930119659e+10,1.1278813024626326e+12,32,32
./nbody_fast_fp32,16384,6.7154148700000005e-01,256,2.6232089335937502e-03,1.0233094762766309e+11,2.2512808478085879e+12,32,32
./nbody_fast_fp32,32768,6.7402967800000002e-01,128,5.2658568593750002e-03,2.0390638269788470e+11,4.4859404193534639e+12,32,32
./nbody_fast_fp32,65536,6.7890180900000008e-01,64,1.0607840765625001e-02,4.0488610178972137e+11,8.9074942393738711e+12,32,32
./nbody_fast_fp32,131072,6.9144113400000007e-01,32,2.1607535437500002e-02,7.9508693778117041e+11,1.7491912631185750e+13,32,32
./nbody_fast_fp32,262144,6.3917826500000008e-01,8,7.9897283125000010e-02,8.6009779116628748e+11,1.8922151405658324e+13,32,32
./nbody_fast_fp32,524288,9.5370043500000001e-01,4,2.3842510875000000e-01,1.1528899300292339e+12,2.5363578460643145e+13,32,32
./nbody_fast_fp32,1048576,7.9273090400000001e-01,1,7.9273090400000001e-01,1.3869922595776587e+12,3.0513829710708492e+13,32,32

############## fast_mixed ##############
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_fast_mixed,1024,6.9585244099999999e-01,4096,1.6988584985351562e-04,6.1722385996487436e+09,1.3578924919227235e+11,32,64
./nbody_fast_mixed,2048,7.3124853800000000e-01,2048,3.5705495019531250e-04,1.1746942586024015e+10,2.5843273689252835e+11,32,64
./nbody_fast_mixed,4096,7.3576071700000001e-01,1024,7.1851632519531251e-04,2.3349804885003120e+10,5.1369570747006866e+11,32,64
./nbody_fast_mixed,8192,7.4222573100000000e-01,512,1.4496596308593750e-03,4.6292841830890396e+10,1.0184425202795887e+12,32,64
./nbody_fast_mixed,16384,7.4675322799999999e-01,256,2.9170047968750000e-03,9.2024345070524429e+10,2.0245355915515374e+12,32,64
./nbody_fast_mixed,32768,7.5168283000000002e-01,128,5.8725221093750002e-03,1.8284168267086798e+11,4.0225170187590957e+12,32,64
./nbody_fast_mixed,65536,7.5944754500000000e-01,64,1.1866367890625000e-02,3.6194455924404889e+11,7.9627803033690752e+12,32,64
./nbody_fast_mixed,131072,7.6851418100000002e-01,32,2.4016068156250001e-02,7.1534895188615918e+11,1.5737676941495502e+13,32,64
./nbody_fast_mixed,262144,7.3697999600000008e-01,8,9.2122499500000010e-02,7.4595757940762329e+11,1.6411066746967713e+13,32,64
./nbody_fast_mixed,524288,1.0891054120000001e+00,4,2.7227635300000003e-01,1.0095548288176167e+12,2.2210206233987566e+13,32,64
./nbody_fast_mixed,1048576,9.1543267500000003e-01,1,9.1543267500000003e-01,1.2010840969555735e+12,2.6423850133022617e+13,32,64

############## fast_fp64 ##############
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_fast_fp64,1024,7.8319712400000008e-01,4096,1.9121023535156252e-04,5.4838905358390970e+09,1.2064559178846013e+11,64,64
./nbody_fast_fp64,2048,8.1856660100000000e-01,2048,3.9969072314453125e-04,1.0493873780711460e+10,2.3086522317565213e+11,64,64
./nbody_fast_fp64,4096,8.1596752900000002e-01,1024,7.9684329003906252e-04,2.1054599078292488e+10,4.6320117972243475e+11,64,64
./nbody_fast_fp64,8192,8.1519760300000010e-01,512,1.5921828183593752e-03,4.2148968840871330e+10,9.2727731449916931e+11,64,64
./nbody_fast_fp64,16384,8.1709664900000001e-01,256,3.1917837851562500e-03,8.4102017576625748e+10,1.8502443866857664e+12,64,64
./nbody_fast_fp64,32768,8.2184253800000007e-01,128,6.4206448281250005e-03,1.6723270835611090e+11,3.6791195838344399e+12,64,64
./nbody_fast_fp64,65536,8.3193809300000010e-01,64,1.2999032703125002e-02,3.3040668441179309e+11,7.2689470570594482e+12,64,64
./nbody_fast_fp64,131072,8.7176784800000007e-01,32,2.7242745250000002e-02,6.3062180504734558e+11,1.3873679711041604e+13,64,64
./nbody_fast_fp64,262144,8.7569961100000004e-01,8,1.0946245137500001e-01,6.2779040550241833e+11,1.3811388921053203e+13,64,64
./nbody_fast_fp64,524288,6.6085230800000005e-01,2,3.3042615400000003e-01,8.3188907299390100e+11,1.8301559605865820e+13,64,64
./nbody_fast_fp64,1048576,1.0963555450000000e+00,1,1.0963555450000000e+00,1.0028787037110302e+12,2.2063331481642664e+13,64,64
=== done: 2026年  7月  5日 日曜日 22:36:31 JST ===
