=== host: a14  date: 2026年  7月  5日 日曜日 22:27:03 JST ===
  Marketing Name:          AMD Instinct MI300A Accelerator    
sweep: N=1024..1048576, 11 points, min 0.5s (matches JACC.jl bench)

############## fp32 ##############
--- log/collapse_run.csv ---
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_bench_fp32,1024,6.2745157500000004e-01,4096,1.5318641967773438e-04,6.8450976412004385e+09,1.5059214810640964e+11,32,32
./nbody_bench_fp32,2048,6.4689712200000005e-01,2048,3.1586773535156252e-04,1.3278671831840364e+10,2.9213078030048804e+11,32,32
./nbody_bench_fp32,4096,6.6512505799999999e-01,1024,6.4953618945312499e-04,2.5829532322326069e+10,5.6824971109117346e+11,32,32
./nbody_bench_fp32,8192,6.6944837600000007e-01,512,1.3075163593750001e-03,5.1325448831920082e+10,1.1291598743022417e+12,32,32
./nbody_bench_fp32,16384,6.7177877500000005e-01,256,2.6241358398437502e-03,1.0229480193982013e+11,2.2504856426760430e+12,32,32
./nbody_bench_fp32,32768,6.7433730700000005e-01,128,5.2682602109375004e-03,2.0381336171869250e+11,4.4838939578112354e+12,32,32
./nbody_bench_fp32,65536,6.7858051400000008e-01,64,1.0602820531250001e-02,4.0507780767780780e+11,8.9117117689117715e+12,32,32
./nbody_bench_fp32,131072,6.9160440500000009e-01,32,2.1612637656250003e-02,7.9489923706891357e+11,1.7487783215516098e+13,32,32
./nbody_bench_fp32,262144,6.3957259900000007e-01,8,7.9946574875000009e-02,8.5956749045779541e+11,1.8910484790071500e+13,32,32
./nbody_bench_fp32,524288,9.5560693100000005e-01,4,2.3890173275000001e-01,1.1505898420236553e+12,2.5312976524520414e+13,32,32
./nbody_bench_fp32,1048576,7.9450766800000006e-01,1,7.9450766800000006e-01,1.3838905174367681e+12,3.0445591383608898e+13,32,32

############## mixed ##############
--- log/collapse_run.csv ---
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_bench_mixed,1024,6.9523838100000002e-01,4096,1.6973593286132813e-04,6.1776901468274946e+09,1.3590918323020488e+11,32,64
./nbody_bench_mixed,2048,7.3068362000000009e-01,2048,3.5677911132812504e-04,1.1756024573261953e+10,2.5863254061176297e+11,32,64
./nbody_bench_mixed,4096,7.3514339900000003e-01,1024,7.1791347558593753e-04,2.3369412290676094e+10,5.1412707039487408e+11,32,64
./nbody_bench_mixed,8192,7.4080717700000009e-01,512,1.4468890175781252e-03,4.6381486889941399e+10,1.0203927115787108e+12,32,64
./nbody_bench_mixed,16384,7.4694962100000006e-01,256,2.9177719570312502e-03,9.2000149413021790e+10,2.0240032870864795e+12,32,64
./nbody_bench_mixed,32768,7.5149905000000006e-01,128,5.8710863281250004e-03,1.8288639682511905e+11,4.0235007301526191e+12,32,64
./nbody_bench_mixed,65536,7.5896277300000003e-01,64,1.1858793328125001e-02,3.6217574395312268e+11,7.9678663669686992e+12,32,64
./nbody_bench_mixed,131072,7.6806022100000004e-01,32,2.4001881906250001e-02,7.1577175702736987e+11,1.5746978654602137e+13,32,64
./nbody_bench_mixed,262144,7.3610322700000008e-01,8,9.2012903375000010e-02,7.4684608587920227e+11,1.6430613889342449e+13,32,64
./nbody_bench_mixed,524288,1.0901165050000001e+00,4,2.7252912625000003e-01,1.0086184575069799e+12,2.2189606065153559e+13,32,64
./nbody_bench_mixed,1048576,9.0999411000000008e-01,1,9.0999411000000008e-01,1.2082623565288789e+12,2.6581771843635336e+13,32,64

############## fp64 ##############
--- log/collapse_run.csv ---
exec,N,time[s],step,time_per_step[s],interactions_per_sec,Flop/s,FP_L,FP_M
./nbody_bench_fp64,1024,7.7848178100000009e-01,4096,1.9005902856445315e-04,5.5171070162783928e+09,1.2137635435812463e+11,64,64
./nbody_bench_fp64,2048,7.9063783600000004e-01,2048,3.8605363085937502e-04,1.0864563015929331e+10,2.3902038635044528e+11,64,64
./nbody_bench_fp64,4096,8.1766120800000008e-01,1024,7.9849727343750008e-04,2.1010987210732391e+10,4.6224171863611261e+11,64,64
./nbody_bench_fp64,8192,8.2485554800000005e-01,512,1.6110459921875001e-03,4.1655461312360596e+10,9.1642014887193311e+11,64,64
./nbody_bench_fp64,16384,8.2790593500000009e-01,256,3.2340075585937504e-03,8.3003966792435165e+10,1.8260872694335737e+12,64,64
./nbody_bench_fp64,32768,8.3271521600000009e-01,128,6.5055876250000007e-03,1.6504916786821390e+11,3.6310816931007056e+12,64,64
./nbody_bench_fp64,65536,8.4292667400000010e-01,64,1.3170729281250002e-02,3.2609942883833801e+11,7.1741874344434365e+12,64,64
./nbody_bench_fp64,131072,8.8003168200000004e-01,32,2.7500990062500001e-02,6.2470002516113953e+11,1.3743400553545070e+13,64,64
./nbody_bench_fp64,262144,8.8409907700000001e-01,8,1.1051238462500000e-01,6.2182602401698926e+11,1.3680172528373764e+13,64,64
./nbody_bench_fp64,524288,6.6302598000000001e-01,2,3.3151299000000001e-01,8.2916179828730090e+11,1.8241559562320621e+13,64,64
./nbody_bench_fp64,1048576,1.1042753360000002e+00,1,1.1042753360000002e+00,9.9568612277327893e+11,2.1905094701012137e+13,64,64
=== done: 2026年  7月  5日 日曜日 22:27:33 JST ===
